index,Fund,Acct-Type,Acct-Div,Acct-Dept,Summ-Acct,GL-Account,2019-Actual,2020-Actual,2021-Budget,2022-Recommend,2023-Forecast
22,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,45100: Total INTEREST INCOME,INTEREST-PORTFOLIO,-101628,-302388,0,0,0
23,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-48759,-56641,0,0,0
24,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE- OTHER,-218,-3333,0,0,0
25,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,REIMBURSEMENT - W.S.B.,-839167,-839167,-839167,-839167,-839167
26,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,REIMBURSEMENTS,0,-1853,0,0,0
27,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,ROOM TAX,-1979745,-1848027,-786182,-1453471,-2418537
28,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,TAX STABILIZATION PLAN - ADMIN FEES,-114964,-438831,-35000,-35000,-35000
29,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,NON-UTILIZATION TAX,0,0,0,0,0
30,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,IN LIEU OF TAX ON EXEMPT PROPERTY,-15000,-15000,-15000,-15000,-15000
31,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,"PAYMENT IN LIEU OF TAXES: COLLEGES,UNIVERSITIES,HOSPITALS",-7678118,-7016472,-7658372,-7177936,-7177936
32,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,STABILIZATION TREATY - ELECTRIC CO,-7835000,-7810000,0,0,0
33,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,PROVIDENCE PLACE MALL,-779870,-991387,-970000,-970000,-970000
34,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,PILOT - PROVIDENCE HOUSING AUTHORITY,-122136,-134985,-140000,-140000,-140000
35,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,TAX STABILIZATION AGREEMENTS - REAL PROP,0,0,-12496805,-13329454,-16041490
36,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,TAX STABILIZATION AGREEMENTS - TANGIBLE PROP,0,0,-646415,-674323,-868189
37,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,48200: Total OTHER REVENUES,PORT OF PROVIDENCE,-453829,-438033,-400000,-450000,-450000
38,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,49000: Total TRANSFERS FROM FUNDS,TRANSFER FROM FUND 252,-1614340,-1590905,-1700000,-1700000,-1845000
39,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,49000: Total TRANSFERS FROM FUNDS,TRANSFER FROM FUND 256,-179810,-122153,-100000,-100000,-250000
40,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,49000: Total TRANSFERS FROM FUNDS,TRANSFER FROM ARPA FUND 263,0,0,0,-16357352,-10000000
41,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,49000: Total TRANSFERS FROM FUNDS,TRANSFER FROM FUND 283,-4316529,-5437404,-5200000,-5200000,-5200000
42,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,49000: Total TRANSFERS FROM FUNDS,TRANSFER FROM NO BURIAL GD (FD 801),-185812,-172046,-260000,-260000,-260000
43,101: City General,REVENUES,General (Non-Departmental),101-000: Non Departmental-General Fund,49000: Total TRANSFERS FROM FUNDS,TRANSFER FROM FUND 856 - CAPITAL ASSETS,0,-1195516,0,-3100000,0
44,101: City General,REVENUES,General (Non-Departmental),101-223: Debt Service,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-1321690,-2675675,-1682448,-1573221,-1482941
45,101: City General,REVENUES,General (Non-Departmental),101-227: Workers Compensation,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-33333,0,0,0,0
46,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,MISCELLANEOUS FEES,-22,-21,-60,-60,-60
47,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,CERTIFIED COPIES,-499,-324,-480,-480,0
48,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,AUCTIONEERS RETURN,-1347,-1438,-1200,-1200,-1200
49,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,GOING OUT OF BUSINESS LICENSE,0,-5,0,0,0
50,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,REGISTRATIONS - DBAS,-4245,-2980,-4200,-4200,-4200
51,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,ZONING BOOKS AND MAPS,-80,0,0,0,0
52,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,NOTARY FEES,-616,-1341,-1200,-1500,-1500
53,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,DRAFT COPIES,-564,-417,-120,-480,-480
54,101: City General,REVENUES,City Council,101-103: City Clerk,43000: Total DEPARTMENTAL REVENUE,ZONING CHANGES,-2025,-1900,-1200,-2400,-2400
55,101: City General,REVENUES,City Council,101-103: City Clerk,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-25,0,0,0,0
56,101: City General,REVENUES,City Council,101-103: City Clerk,48200: Total OTHER REVENUES,LOBBYING REGISTRATION FEES,0,-25,-1200,-1200,-1200
57,101: City General,REVENUES,City Council,101-209: Treasury,43000: Total DEPARTMENTAL REVENUE,MISCELLANEOUS FEES,551,-34,-48,-22,-22
58,101: City General,REVENUES,City Council,101-209: Treasury,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,0,0,-54,-22,0
59,101: City General,REVENUES,Miscellaneous Departments,101-903: Vital Statistics,43000: Total DEPARTMENTAL REVENUE,MISCELLANEOUS FEES,-1520,-450,-1200,-1200,-1200
60,101: City General,REVENUES,Miscellaneous Departments,101-903: Vital Statistics,43000: Total DEPARTMENTAL REVENUE,CERTIFIED COPIES,-309406,-269479,-325300,-325300,0
61,101: City General,REVENUES,Miscellaneous Departments,101-903: Vital Statistics,43000: Total DEPARTMENTAL REVENUE,MARRIAGE LICENSES,-9382,-8054,-10200,-10000,-10740
62,101: City General,REVENUES,Miscellaneous Departments,101-904: Board of Canvassers,42500: Total MISCELLANEOUS GRANTS,OTHER SUBGRANTED REVENUES,0,0,0,0,0
63,101: City General,REVENUES,Miscellaneous Departments,101-904: Board of Canvassers,43000: Total DEPARTMENTAL REVENUE,CERTIFIED LISTS,-320,0,0,0,0
64,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,MISCELLANEOUS FEES,-1676,-1535,-1301,-200,0
65,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,LIQUOR LICENSES,-831378,-839263,-656000,-720000,-850000
66,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,TOBACCO LICENSES,-23400,-23400,0,0,0
67,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,DANCE & EXHIBITIONS,-164962,-117870,-78000,-96000,-156000
68,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,JUNK GATHERERS,-1400,-1000,-1200,-1200,-1200
69,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,PAWNBROKERS,-400,-600,-1500,-1500,-1200
70,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,SECOND HAND STORES,-9000,-8700,-12000,-12000,-12000
71,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,SUNDAY SALES,-109702,-124005,-110000,-109200,-110000
72,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,DETECTIVES,-6587,-6280,-5000,-6000,-5000
73,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,SUNDAY PARKING,-54125,-41078,-54000,-38400,-45000
74,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,LAUNDRY,-1870,-1650,-2700,-2700,-2700
75,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,FOOD DISPENSERS,-92760,-107303,-101000,-100800,-110000
76,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,FROZEN DESSERTS,-1700,-450,0,0,0
77,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,CONDUCT BUSINESS 1-4,-4700,-6050,-4900,-4920,-5000
78,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,LICENSE TRANSFER,-450,-275,-375,-420,-375
79,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,PEDDLERS BADGES,-10899,-2152,-11000,-6000,-22000
80,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,IDPVD MUNICIPAL ID FEE,-23040,-18872,-10000,-27600,0
81,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,FOOD TRUCKS,-8400,-7042,-9600,-8400,0
82,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,43000: Total DEPARTMENTAL REVENUE,ADVERTISING FEES,-74542,-75410,-76000,-78000,-76000
83,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,44000: Total FINES & FORFEITURES,FINES & PENALTIES,-67350,-38655,-36000,-30000,-45000
84,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-585,0,0,0,0
85,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48000: Total MISCELLANEOUS RECEIPTS,ENTERTAINMENT,0,-35,0,0,0
86,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,AMUSEMENT CENTER,-14850,-880,0,-900,-900
87,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,BOUNCER REGISTRATION,-2025,-1125,-2000,-1200,-1200
88,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,EXTENSION OF PREMISES FILE FEES,-26675,-33105,-24000,0,0
89,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,HACKNEY CARRIAGE DRIVE,-148,-141,-1000,-600,-1000
90,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,HACKNEY POWER VEHICLES,-1407,-67,-750,-360,-1500
91,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,MECHANICAL DEVICES,0,-4400,-14000,-6900,-6900
92,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,MOTOR VEHICLE REPAIR,-18400,-17100,-20000,-24000,-20000
93,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,PETROLEUM  STORAGE,-16300,-23800,-17400,-19800,-19800
94,101: City General,REVENUES,Miscellaneous Departments,101-905: Bureau of Licenses,48200: Total OTHER REVENUES,VALET LICENSES,-3450,-3700,-2800,-3300,-6600
95,101: City General,REVENUES,Human Services,"101-916: Arts, Culture, Film, & Tourism",43000: Total DEPARTMENTAL REVENUE,VENDOR INCOME,-1110,-2415,-3000,-3000,-3000
96,101: City General,REVENUES,Human Services,"101-916: Arts, Culture, Film, & Tourism",43000: Total DEPARTMENTAL REVENUE,APPLICATION FEES,-8275,-5625,-10000,-13000,-13000
97,101: City General,REVENUES,Human Services,"101-916: Arts, Culture, Film, & Tourism",48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-2175,-200,0,0,0
98,101: City General,REVENUES,Human Services,"101-916: Arts, Culture, Film, & Tourism",48200: Total OTHER REVENUES,PAYROLL REIMBURSEMENT,-118740,-118740,-108000,-123000,-115000
99,101: City General,REVENUES,City Courts,101-106: Municipal Court,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,0,0,0,0,0
100,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,CERTIFIED COPIES,-2846,-2481,-3168,-2628,0
101,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,PROBATE COURT FEES,-1880,-3926,-2064,-1716,-2832
102,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,ADVERTISING REVENUE,-24510,-17703,-24552,-20376,-24288
103,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,NAME CHANGE FEES,-3857,-3613,-3648,-3024,-3432
104,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,PETITION FOR ADMINISTRATION,-2730,-1650,-2616,-2172,-2484
105,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,PETITION FOR GUARDIANSHIP,-3750,-2520,-3708,-3072,-3500
106,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,CERTIFICATE OF APPOINTMENT,-2946,-2000,-2940,-2436,-2880
107,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,PROBATE OF WILL,-3350,-2430,-4476,-3720,-5500
108,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,ADDITIONAL PERCENTAGE,-91003,-64613,-113142,-93900,-114408
109,101: City General,REVENUES,City Courts,101-107: Probate Court,43000: Total DEPARTMENTAL REVENUE,AFFIDAVIT OF COMPLETED ADMIN.,-3831,-2850,-4032,-3348,-4000
110,101: City General,REVENUES,City Courts,101-110: Housing Court,43000: Total DEPARTMENTAL REVENUE,COURT COSTS,-26243,-18305,-20000,-20000,-20000
111,101: City General,REVENUES,City Courts,101-110: Housing Court,44000: Total FINES & FORFEITURES,FINES & FORFEITS,0,-200,0,0,0
112,101: City General,REVENUES,City Courts,101-110: Housing Court,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,0,-886,0,0,0
113,101: City General,REVENUES,Public Property & Purchasing,101-1801: Public Property,43000: Total DEPARTMENTAL REVENUE,APPLICATION FEE-PLASTIC BAG BAN EXEMPTION,0,-1320,0,0,0
114,101: City General,REVENUES,Public Property & Purchasing,101-1801: Public Property,43000: Total DEPARTMENTAL REVENUE,ARAMARK ADD'L CAPITAL PROJECTS FINANCIAL COMMITMENT,-183168,-301980,0,-301155,-301155
115,101: City General,REVENUES,Public Property & Purchasing,101-1801: Public Property,45200: Total RENTAL INCOME,RENTAL INCOME,-80000,-80000,-126000,-80000,-126000
116,101: City General,REVENUES,Public Property & Purchasing,101-1801: Public Property,46200: Total INSURANCE CHARGES,INSURANCE PROCEEDS,0,-354193,0,0,0
117,101: City General,REVENUES,Public Property & Purchasing,101-1801: Public Property,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-4412,-25397,-3000,-3000,0
118,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,MISCELLANEOUS FEES,-672,-3332,0,0,0
119,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,BUILDING INSPECTOR MISCELLANEOUS,-3400,-1800,-3162,0,0
120,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,STRUCTURE ZONING,-4360898,-4078195,-4727432,-6159912,-6159912
121,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,PLUMBING DRAIN GAS,-289073,-259102,-266137,-375000,-375000
122,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,ELECTRICAL,-1052465,-966962,-1060513,-1450564,-1450564
123,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,MECHANICAL,-856720,-671229,-839172,-976600,-976600
124,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,STATE FEES - ADA,-10269,-36008,0,0,0
125,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,STATE FEES - RADON,0,-6465,0,0,0
126,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,INSPECTION VIOLATIONS,-1564,0,0,-100000,-100000
127,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,ABANDONED PROPERTIES REVENUE,-22300,-15700,-116148,-22000,-30000
128,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,43000: Total DEPARTMENTAL REVENUE,BLDG/INSP-BOARDING LIEN REVENUE,-114858,-143175,-25862,-50000,-100000
129,101: City General,REVENUES,Department of Inspections & Standards,101-401: Building Administration,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-37611,-22168,-176163,0,0
130,101: City General,REVENUES,Department of Inspections & Standards,101-406: Zoning Board of Review,43000: Total DEPARTMENTAL REVENUE,ZONING APPLICATION FEES & HOUSING,-30667,-30252,-37200,-36000,-41952
131,101: City General,REVENUES,Department of Inspections & Standards,101-407: Building Board,43000: Total DEPARTMENTAL REVENUE,BUILDING APPLICATION FEES,-7480,-3520,-7680,-7040,-7040
132,101: City General,REVENUES,Parks,101-702: Neighborhood Park Services,42200: Total STATE GRANTS,STATE GRANT,0,0,0,0,0
133,101: City General,REVENUES,Parks,101-709: Superintendent of Parks,48200: Total OTHER REVENUES,PAYROLL REIMBURSEMENT,0,0,0,0,0
134,101: City General,REVENUES,Parks,101-710: North Burial Ground,43000: Total DEPARTMENTAL REVENUE,NO. BURIAL GROUNDS FEES,-414188,-490981,-340000,-340000,-340000
135,101: City General,REVENUES,Department of Public Works,101-305: Traffic Engineering,43000: Total DEPARTMENTAL REVENUE,PARKING METER CASH RETURNS,12,0,0,0,0
136,101: City General,REVENUES,Department of Public Works,101-305: Traffic Engineering,43000: Total DEPARTMENTAL REVENUE,PARKING METER REVENUE - PROVPASS,-4880,0,0,0,0
137,101: City General,REVENUES,Department of Public Works,101-305: Traffic Engineering,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-292378,-275690,-300000,-325000,0
138,101: City General,REVENUES,Department of Public Works,101-305: Traffic Engineering,48200: Total OTHER REVENUES,DETAIL SALARY REVENUE,-86180,-86200,-100000,-100000,-120000
139,101: City General,REVENUES,Department of Public Works,101-501: Public Works Administration,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,0,-450,0,0,0
140,101: City General,REVENUES,Department of Public Works,101-506: Environmental Control,43000: Total DEPARTMENTAL REVENUE,GARBAGE RECEPTACLES,-35655,-26595,-40000,-55000,-55000
141,101: City General,REVENUES,Department of Public Works,101-506: Environmental Control,48200: Total OTHER REVENUES,CLEANUP COLLECTIONS,-12494,0,0,0,0
142,101: City General,REVENUES,Department of Public Works,101-508: Highway,43000: Total DEPARTMENTAL REVENUE,DUMPSTER FEES,-33000,-28830,-100000,-100000,-100000
143,101: City General,REVENUES,Department of Public Works,101-508: Highway,43000: Total DEPARTMENTAL REVENUE,CURBWORK,-9457,-9143,-10000,-10000,-10000
144,101: City General,REVENUES,Department of Public Works,101-508: Highway,43000: Total DEPARTMENTAL REVENUE,SIDEWALK CONTRACTORS,-8650,-8800,-10000,-10000,-10000
145,101: City General,REVENUES,Department of Public Works,101-508: Highway,43000: Total DEPARTMENTAL REVENUE,SIDEWLK STNDS; NEWS STNDS; ETC.,0,0,0,0,0
146,101: City General,REVENUES,Department of Public Works,101-508: Highway,43000: Total DEPARTMENTAL REVENUE,PERMITS REVENUE,-146144,-121335,-160000,-130000,-160000
147,101: City General,REVENUES,Department of Public Works,101-511: Sewer Construction,42200: Total STATE GRANTS,STATE GRANT,-325750,0,0,0,0
148,101: City General,REVENUES,Department of Public Works,101-511: Sewer Construction,43000: Total DEPARTMENTAL REVENUE,SEWER CONSTR & MAINT. DRAIN FEES,-9675,-8275,-10000,-11000,-11000
149,101: City General,REVENUES,Department of Public Works,101-516: Parking Administration,43000: Total DEPARTMENTAL REVENUE,PARKING PERMITS,-416082,-381891,-600000,-600000,-775000
150,101: City General,REVENUES,Department of Public Works,101-516: Parking Administration,43000: Total DEPARTMENTAL REVENUE,PARKING METER CASH RETURNS,-1240550,-1079590,-804000,-900000,-1200000
151,101: City General,REVENUES,Department of Public Works,101-516: Parking Administration,43000: Total DEPARTMENTAL REVENUE,PARKING METER REVENUE - PROVPASS,429,0,0,0,0
152,101: City General,REVENUES,Department of Public Works,101-516: Parking Administration,43000: Total DEPARTMENTAL REVENUE,PARKING CALE METERS,-2293073,-1923904,-1596000,-1600000,-3100000
153,101: City General,REVENUES,Office of Economic Opportunity,101-909: Office of Economic Opportunity,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,0,-5400,0,0,0
154,101: City General,REVENUES,Planning & Urban Development,101-908: Planning & Urban Development,48000: Total MISCELLANEOUS RECEIPTS,MISCELLANEOUS REVENUE,-21102,-22332,0,0,0
155,101: City General,REVENUES,Public Safety,101-301: Commissioner of Public Safety,43000: Total DEPARTMENTAL REVENUE,VIN VERIFICATION,-156283,-151128,0,0,0
156,101: City General,REVENUES,Public Safety,101-302: Police,43000: Total DEPARTMENTAL REVENUE,MISCELLANEOUS FEES,-50,-43440,0,0,0
157,101: City General,REVENUES,Public Safety,101-302: Police,43000: Total DEPARTMENTAL REVENUE,OFFICER COURT FEES,-617,-584,-600,-600,-600
